A2M
COL1A2
COL3A1
COL5A2
COL6A1
COL6A2
COL6A3
COLGALT1
COMMD3
COMP
COMT
COMTD1
COPA
COPE
COPS6
COPS9
COPZ1
COQ4
CORO7
COX4I1
COX5B
COX6A1
COX6B1
COX6C
COX7A2
COX7A2L
COX7C
COX8A
CPTP
CRABP2
CRACR2B
CRIP2
CRK
CSDE1
CSF1R
CSK
CSNK1E
CSNK1G2
CSRP1
CST3
CTB-50L17.10
CTBP1
CTDSP1
CTDSP2
CTDSPL
CTNNA1
CTNND1
CTSB
CTSD
CTSZ
CTTN
CTXN1
CUEDC2
CUL7
CUTA
CWC25
CXXC5
CYB561A3
CYB5R1
CYBA
CYHR1
CYTH2
DAG1
DAP
DAZAP1
DAZAP2
DBI
DBN1
DBNL
DBP
DCN
DCTN1
DCTN2
DCTPP1
DCXR
DDB1
DDIT4
DDOST
DDR1
DDT
DDX23
DDX39A
DDX3X
DDX41
DDX5
DDX54
DDX6
DEF6
DEGS1
DEGS2
DERL3
DGAT2
DGKD
DHCR24
DHX30
DHX9
DMAP1
DNAJA1
DNAJB1
DNAJB2
DNAJC11
DNAJC7
DNASE2
DNM2
DPP7
DSP
DTYMK
DUSP1
DUSP23
DUSP4
DUT
DYNC1H1
DYNLL1
DYNLL2
DYNLT1
DYRK1B
E4F1
ECE1
ECH1
ECHS1
ECI1
ECM1
EDC3
EDF1
EEF1D
EEF2
EFHD1
EFNA1
EFNA4
EFS
EGFL7
EHBP1L1
EHMT1
EIF3B
EIF3D
EIF3G
EIF3H
EIF4A2
EIF4EBP1
EIF4G1
EIF4G2
EIF5A
EIF6
ELF3
ELK1
ELOF1
ELOVL1
EMC10
EMILIN1
EML3
EMP3
ENDOG
ENG
ENO1
ENSA
ENTPD6
EPHB3
EPHB4
EPHX1
EPN1
EPN2
EPN3
EPS8L2
ERBB2
ERBB3
ERF
ERGIC3
ERI3
ERP29
ESRRA
ETFB
ETHE1
EVA1B
EVI5L
EXOC3
EXOC4
EXOC7
EXT2
EZR
FAAP100
FAAP20
FADS2
FAM109A
FAM134A
FAM134C
FAM168B
FAM173A
FAM20C
FAM210B
FAM214B
FAM50A
FAM65A
FAM96B
FARSA
FASN
FASTK
FAT1
FAU
FBL
FBLN1
FBLN2
FBN1
FBRS
FBRSL1
FBXW5
FDFT1
FDPS
FHOD1
FKBP1A
FKBP2
FKBP4
FLII
FLNA
FLNB
FLOT2
FN1
FNDC10
FOS
FOXP4
FPGS
FTH1
FTL
FTSJ3
FUS
FXR2
FXYD3
FXYD5
G6PC3
G6PD
GAA
GADD45GIP1
GAK
GAPDH
GAS2L1
GAS6
GATA3
GATAD2A
GBF1
GCHFR
GDI2
GGA1
GGCX
GGT5
GGT6
GIGYF1
GIPC1
GIT1
GLB1
GLO1
GLTSCR2
GLUL
GM2A
GMPPA
GNA11
GNAI2
GNAS
GNB1
GNB2
GNS
GOLGA3
GPAT4
GPC1
GPI
GPR137
GPRC5C
GPX3
GPX4
GRB7
GRINA
GRK2
GRN
GRWD1
GSE1
GSK3A
GSTO1
GSTP1
GTF2F1
GTF3A
GTF3C1
GUK1
H1F0
H1FX
H2AFJ
H3F3B
HADH
HADHA
HCFC1R1
HDGF
HDLBP
HERPUD1
HES1
HES4
HEXA
HGS
HID1
HIGD2A
HIST1H1C
HIST1H2AC
HLA-A
HLA-B
HLA-C
HLA-DPA1
HLA-DPB1
HLA-DQB1
HLA-DRA
HLA-E
HM13
HMG20B
HMGA1
HNRNPA0
HNRNPA1
HNRNPA2B1
HNRNPA3
HNRNPF
HNRNPK
HNRNPL
HNRNPUL1
HNRNPUL2
HOMER3
HP1BP3
HRAS
HSBP1
HSP90AA1
HSP90AB1
HSP90B1
HSPA1A
HSPA5
HSPB1
HSPBP1
HSPG2
HTRA1
HTRA2
HTRA3
HTT
HYAL2
HYOU1
ICA1
ICAM1
ID2
IDH2
IDH3G
IER2
IER5L
IFI27
IFI6
IFITM3
IFNAR1
IFNGR2
IGFBP2
IGFBP4
IGHA1
IGHG1
IGHG2
IGHG3
IGHG4
IGKC
IGLC2
IGLC3
IGLC7
IL13RA1
IL17RC
IL18BP
IL1RN
ILK
IMP4
IMPDH2
INF2
INO80E
INTS1
IP6K1
IP6K2
IRF2BP2
IRGQ
ISG15
ISOC2
ITGA3
ITGAL
ITGAV
ITGB2
ITGB4
ITGB6
ITM2B
JAK3
JMJD8
JSRP1
JTB
JUNB
JUND
JUP
KAT5
KCNMA1
KCTD2
KDELR1
KDELR2
KDM2A
KDM6B
KEAP1
KHDRBS1
KHSRP
KIAA0100
KIAA0930
KIAA1324
KIAA1522
KLF16
KLF6
KLHDC3
KMT2B
KMT5C
KRT18
KRT19
KRT7
KRT8
KRT81
KXD1
LAD1
LAG3
LAGE3
LAMB2
LAMP1
LAMTOR1
LAMTOR2
LAMTOR4
LAPTM4A
LAPTM5
LARP1
LASP1
LDLRAP1
LEMD2
LETM1
LFNG
LGALS1
LGALS3
LGALS3BP
LGALS9
LIMD2
LIMK1
LITAF
LLGL2
LMAN2
LMF2
LMNA
LMTK3
LONP1
LOXL2
LPAR2
LPCAT1
LPCAT3
LRIG1
LRP1
LRP10
LRPAP1
LRRC26
LRRC41
LRRC45
LRRC59
LRRC75A
LRRC75B
LSM2
LSM4
LSM7
LSP1
LSR
LTB
LTBP3
LTBR
LUC7L2
LUM
LY6E
MAF1
MAGED1
MAGED2
MAN1B1
MANEAL
MANF
MAP3K11
MAP3K12
MAPKAPK2
MARCKS
MARCKSL1
MARK2
MAZ
MBOAT7
MCL1
MCM7
MCRIP1
MDH2
MDK
MED1
MED16
METRNL
MFGE8
MFSD10
MFSD12
MGAT1
MGAT4B
MGMT
MGP
MGRN1
MGST1
MGST3
MIDN
MIEN1
MIF4GD
MKNK2
MLF2
MLLT6
MLST8
MMACHC
MMP11
MMP14
MMP15
MMP2
MMP9
MOB1A
MOB2
MOGS
MORF4L2
MOV10
MPDU1
MPG
MPI
MPST
MPZL1
MRPL12
MRPL24
MRPL27
MRPL28
MRPL37
MRPL4
MRPL41
MRPL51
MRPL55
MRPL57
MRPS11
MRPS2
MRPS21
MRPS26
MRPS34
MRPS7
MSL1
MTA1
MTCH1
MUC1
MUCL1
MUL1
MVB12A
MVD
MVP
MXD4
MXRA8
MYBBP1A
MYDGF
MYH9
MYL12A
MYL12B
MYL6
MYL9
MYO1C
MYO9B
MZB1
MZT2A
MZT2B
NAA10
NAA50
NACA
NAGK
NANS
NAP1L4
NAT14
NBL1
NCL
NCLN
NCOR2
NDRG1
NDST1
NDUFA10
NDUFA11
NDUFA13
NDUFA3
NDUFA6
NDUFA9
NDUFB10
NDUFB11
NDUFB2
NDUFB4
NDUFB7
NDUFB8
NDUFB9
NDUFS5
NDUFS6
NDUFS7
NDUFS8
NDUFV1
NECTIN1
NECTIN2
NEDD8
NELFA
NELFB
NELFCD
NELFE
NET1
NFATC2IP
NHP2
NISCH
NKIRAS2
NME3
NMRAL1
NNMT
NOC4L
NOL3
NONO
NOP10
NOSIP
NOTCH3
NPC2
NPDC1
NPLOC4
NQO1
NR2F6
NRBP1
NSD1
NSFL1C
NSMF
NT5DC2
NTHL1
NUBP2
NUCB1
NUCKS1
NUDC
NUDT16L1
NUDT8
NUFIP2
NUMA1
NUPR1
OAS2
OAZ1
OAZ2
OGDH
ORMDL2
ORMDL3
OS9
OST4
OTUB1
P4HB
PA2G4
PABPC1
PACS1
PACS2
PAFAH1B2
PARK7
PARP1
PARP10
PARP12
PATZ1
PBXIP1
PCBP1
PCBP2
PCGF2
PCMT1
PCSK7
PDCD4
PDIA3
PDIA4
PDIA6
PDLIM7
PDXK
PEBP1
PFDN5
PFDN6
PFKL
PFKP
PFN1
PGAP3
PGD
PGK1
PGLS
PGP
PGRMC2
PHB
PHB2
PHC2
PHGDH
PHKG2
PHLDA3
PHPT1
PIEZO1
PIGQ
PIGT
PIK3R1
PIK3R3
PIM3
PIN1
PIP4K2B
PITX1
PKD1
PKM
PKN1
PKP3
PLCB3
PLD3
PLEC
PLEKHB2
PLEKHH3
PLEKHJ1
PLEKHO1
PLEKHO2
PLIN3
PLOD1
PLOD3
PLPP2
PLPPR2
PLVAP
PLXNB1
PLXNB2
PMEPA1
PMM1
PMPCA
PNKD
PNKP
PNMT
PNPLA2
PODXL2
POLD2
POLDIP3
POLR2A
POLR2E
POLR2H
POLR2I
POLR2L
POMGNT1
POSTN
PPDPF
PPIB
PPIE
PPIF
PPM1G
PPP1CA
PPP1CB
PPP1R12C
PPP1R14B
PPP1R1B
PPP1R35
PPP1R9B
PPP2R1A
PPP4C
PPP5C
PPP6R2
PPT1
PRDX1
PRDX2
PRDX5
PREB
PRELID1
PRKCSH
PRKCZ
PRKD2
PRMT1
PRPF19
PRPF6
PRPF8
PRR14
PRRC2A
PRSS8
PSAP
PSMA4
PSMB1
PSMB3
PSMB4
PSMB5
PSMB6
PSMB7
PSMB8
PSMC3
PSMC4
PSMC5
PSMD2
PSMD3
PSMD4
PSMD8
PSME2
PSMG3
PTBP1
PTGES3
PTMA
PTMS
PTOV1
PTPA
PTPN7
PTPRF
PTRF
PUF60
PXDN
PXN
PYCARD
PYCR1
PYGB
QARS
QPRT
QSOX1
R3HDM4
RAB11A
RAB11B
RAB11FIP3
RAB15
RAB1A
RAB1B
RAB25
RAB2A
RAB3D
RAB6A
RABAC1
RABEP2
RABL6
RACK1
RAD23A
RAD23B
RAD9A
RALY
RAMP2
RAN
RANGAP1
RARRES2
RARRES3
RARS
RASD1
RBM14
RBM15B
RBM3
RBM39
RBM42
RCN1
REEP5
RER1
REXO4
RFC2
RGL2
RGS3
RHBDD2
RHOA
RHOB
RHOG
RHOT2
RNASE1
RNF10
RNF167
RNF26
RNF40
RNPEP
ROMO1
RRBP1
RRP1
RRP7A
RSL1D1
RTCB
RTFDC1
RTN4
RUSC1
RXRB
S100A10
S100A11
S100A14
S100A16
S100A4
S100A6
S100A8
S100A9
SAMD1
SAP30BP
SARAF
SAT1
SAT2
SBF1
SBNO2
SCAMP3
SCAND1
SCAP
SCD
SCGB3A1
SCO2
SDC1
SDC4
SDF2L1
SDF4
SDHA
SDHAF2
SEC11A
SEC16A
SEC24C
SEC61A1
SEC61B
SELM
SELO
SEMA3C
SEMA3F
SEPHS2
SEPN1
SEPP1
SEPT9
SEPW1
SERBP1
SERF2
SERHL2
SERINC2
SERPINA1
SERPINF1
SERPING1
SERPINH1
SF3B2
SF3B3
SF3B5
SGSM2
SGSM3
SGTA
SH3BGRL3
SHC1
SHISA5
SHMT2
SIGIRR
SIL1
SIPA1
SIRT2
SKIV2L
SKP1
SLC12A7
SLC12A9
SLC16A3
SLC1A5
SLC25A1
SLC25A10
SLC25A11
SLC25A3
SLC25A5
SLC25A6
SLC2A1
SLC2A4RG
SLC35E1
SLC38A10
SLC39A1
SLC39A7
SLC44A2
SLC52A2
SLC5A6
SLC8B1
SLC9A3R1
SMAP2
SMARCA4
SMARCC1
SMARCD2
SMDT1
SMG7
SMIM22
SMPD1
SND1
SNF8
SNRNP200
SNRNP70
SNRPB
SNRPD2
SNU13
SNX17
SNX8
SOX4
SPARC
SPCS3
SPDEF
SPG7
SPINT1
SPINT2
SPPL2B
SPSB3
SPTSSA
SQSTM1
SRA1
SREBF1
SREBF2
SRM
SRPRB
SRRM2
SRRT
SRSF3
SRSF5
SRSF9
SSBP4
SSNA1
SSR2
SSR3
SSR4
SSRP1
SSU72
ST14
STAB1
STARD10
STARD3
STARD7
STAT2
STAT6
STIP1
STK11
STK25
STMN1
STOML2
STRA13
STUB1
STX10
STX5
SUMF2
SUN2
SUPT5H
SUPT6H
SURF4
SYMPK
SYNGR2
SYT12
SYVN1
SZRD1
TACSTD2
TAF6
TAGLN
TAGLN2
TALDO1
TAOK2
TAP1
TAPBP
TAX1BP3
TBC1D10C
TBC1D16
TBC1D17
TBCD
TBRG4
TCEB2
TCF25
TCOF1
TEAD3
TELO2
TEX264
TFRC
TGFB1
TGM2
THBS3
THOP1
THY1
TIMM10
TIMM13
TIMM17B
TIMM44
TIMP1
TIMP2
TKFC
TM4SF1
TM7SF2
TM9SF2
TM9SF3
TMBIM6
TMED1
TMED2
TMED3
TMED9
TMEM104
TMEM106C
TMEM115
TMEM123
TMEM127
TMEM132A
TMEM134
TMEM147
TMEM150A
TMEM159
TMEM160
TMEM179B
TMEM205
TMEM208
TMEM222
TMEM238
TMEM258
TMEM259
TMEM54
TMEM55B
TMEM63A
TMEM86A
TMEM87A
TMEM8A
TMEM9
TMSB10
TMSB4X
TMUB1
TNFAIP1
TNFRSF12A
TNFRSF1A
TNFRSF25
TNFSF10
TNIP1
TNKS1BP1
TNPO2
TNRC18
TOM1
TOM1L2
TOMM40
TP53I11
TPD52
TPI1
TPM1
TPM2
TPM3
TPM4
TPRA1
TPRN
TPT1
TPX2
TRA2B
TRABD
TRAF4
TRAF7
TRAM1
TRAPPC12
TRIB1
TRIM28
TRIOBP
TRMT112
TRMT2A
TRPM4
TRUB2
TSC2
TSC22D3
TSEN54
TSKU
TSPAN17
TSPO
TSTA3
TSTD1
TTC38
TTLL12
TUBA1B
TUBA1C
TUBA4A
TUBB
TUBB4B
TUBGCP2
TUFM
TWF2
TXLNA
TYMP
TYROBP
UBA1
UBA52
UBALD1
UBALD2
UBB
UBC
UBE2M
UBE2N
UBE2O
UBE2Z
UBL5
UBTF
UBXN1
UBXN6
UCP2
UFC1
ULK1
UNC45A
UNC93B1
UNK
UPF1
UQCC3
UQCR10
UQCR11
UQCRC1
UQCRH
UQCRQ
URI1
URM1
UROS
USMG5
USP20
USP36
USP5
VAMP3
VAMP8
VASP
VCP
VIM
VKORC1
VMP1
VPS25
VPS28
VPS4A
VRK3
VWF
WAPL
WARS
WBSCR22
WDR1
WDR34
WDR46
WDR5
WDR6
WDR74
WDR83OS
WFS1
WIPI2
XBP1
XRCC6
YARS
YDJC
YIF1A
YIF1B
YIPF2
YIPF3
YWHAB
YWHAE
YWHAZ
ZBTB7B
ZDHHC12
ZDHHC3
ZDHHC5
ZER1
ZFP36L1
ZFP36L2
ZFPM1
ZMYND19
ZNF316
ZNF358
ZNF513
ZNF524
ZNF580
ZNF593
ZNF598
ZNF703
ZNF768
ZNHIT1
ZYX
